timestamp,cpu_percent,mem_mb
2025-11-01T17:31:51.9791438-03:00,0,8.12
2025-11-01T17:31:51.9993530-03:00,0,8.12
2025-11-01T17:31:52.0053862-03:00,0,8.12
2025-11-01T17:31:52.0185000-03:00,0,8.12
2025-11-01T17:31:52.0489180-03:00,0,8.12
2025-11-01T17:31:52.0629292-03:00,0,8.12
2025-11-01T17:31:52.0893463-03:00,0,8.12
2025-11-01T17:31:52.1009743-03:00,0,8.12
2025-11-01T17:31:52.1188635-03:00,0,8.12
2025-11-01T17:31:52.1327064-03:00,0,8.12
2025-11-01T17:31:52.1685814-03:00,0,8.12
2025-11-01T17:31:52.2065089-03:00,0,8.12
2025-11-01T17:31:52.3116025-03:00,0,8.12
2025-11-01T17:31:52.3751006-03:00,0,8.12
2025-11-01T17:31:52.3849308-03:00,0,8.12
2025-11-01T17:31:52.3961516-03:00,0,8.12
2025-11-01T17:31:52.4021427-03:00,0,8.12
2025-11-01T17:31:52.4101452-03:00,0,8.12
2025-11-01T17:31:52.4161445-03:00,0,8.12
2025-11-01T17:31:52.4371431-03:00,0,8.12
2025-11-01T17:31:52.4611352-03:00,0,8.12
2025-11-01T17:31:52.4949444-03:00,0,8.12
2025-11-01T17:31:52.5067919-03:00,0,8.12
2025-11-01T17:31:52.5300805-03:00,0,8.12
2025-11-01T17:31:52.5457306-03:00,0,8.12
2025-11-01T17:31:52.5579407-03:00,0,8.12
2025-11-01T17:31:52.6351370-03:00,0,8.12
2025-11-01T17:31:52.6452992-03:00,0,8.12
2025-11-01T17:31:52.6644489-03:00,0,8.12
2025-11-01T17:31:52.6941513-03:00,0,8.12
2025-11-01T17:31:52.7100640-03:00,0,8.12
2025-11-01T17:31:52.8963425-03:00,0,8.12
2025-11-01T17:31:52.9614715-03:00,0,8.12
2025-11-01T17:31:53.0563886-03:00,0,8.12
2025-11-01T17:31:53.1063531-03:00,0,8.12
2025-11-01T17:31:53.1470994-03:00,0,8.12
2025-11-01T17:31:53.2150118-03:00,0,8.12
2025-11-01T17:31:53.3797435-03:00,0,8.12
2025-11-01T17:31:53.4454716-03:00,0,8.12
2025-11-01T17:31:53.5154326-03:00,0,8.12
2025-11-01T17:31:53.5695552-03:00,0,8.12
2025-11-01T17:31:53.6314188-03:00,0,8.12
2025-11-01T17:31:53.6709511-03:00,0,8.12
2025-11-01T17:31:53.7098287-03:00,0,8.12
2025-11-01T17:31:54.0256210-03:00,0,8.12
2025-11-01T17:31:54.1078346-03:00,0,8.12
2025-11-01T17:31:54.1807895-03:00,0,8.12
2025-11-01T17:31:54.2289235-03:00,0,8.12
2025-11-01T17:31:54.2800590-03:00,0,8.12
2025-11-01T17:31:54.3424373-03:00,0,8.12
2025-11-01T17:31:54.4918047-03:00,0,8.12
2025-11-01T17:31:54.5632889-03:00,0,8.12
2025-11-01T17:31:54.6466233-03:00,0,8.12
2025-11-01T17:31:54.6941349-03:00,0,8.12
2025-11-01T17:31:54.7843602-03:00,0,8.12
2025-11-01T17:31:54.8991503-03:00,0,8.12
